roc_auc,avg_precision,fnr_at_0.3,fnr_at_0.5,fnr_at_0.7,accuracy,n,prevalence,predicted_positive_rate,Method,Hospital,Sex,AgeGroup
0.7379,0.836,0.1786,0.6714,0.9929,50.49,206,67.96,26.21,FedAvg,Hospital_A,M,0-20
0.8273,0.812,0.2412,0.5176,0.9849,69.77,387,51.42,28.42,FedAvg,Hospital_A,M,20-40
0.7419,0.7964,0.3367,0.727,0.9923,56.21,692,56.65,18.06,FedAvg,Hospital_A,M,40-60
0.7323,0.8238,0.2266,0.6331,0.9928,55.27,427,65.11,27.4,FedAvg,Hospital_A,M,60-80
0.7857,0.9181,0.1667,0.7778,1.0,44.0,25,72.0,16.0,FedAvg,Hospital_A,M,80+
0.7708,0.7946,0.15,0.525,1.0,63.16,76,52.63,34.21,FedAvg,Hospital_A,F,0-20
0.7787,0.8346,0.2353,0.543,0.9955,61.9,357,61.9,32.77,FedAvg,Hospital_A,F,20-40
0.7083,0.7503,0.3591,0.768,0.989,51.37,621,58.29,17.39,FedAvg,Hospital_A,F,40-60
0.7396,0.8048,0.2895,0.7368,1.0,56.65,203,56.16,16.75,FedAvg,Hospital_A,F,60-80
,1.0,0.1818,1.0,1.0,0.0,11,100.0,0.0,FedAvg,Hospital_A,F,80+
,1.0,0.3077,0.6923,1.0,30.77,13,100.0,30.77,FedAvg,Hospital_B,M,0-20
,1.0,0.2281,0.5263,1.0,47.37,57,100.0,47.37,FedAvg,Hospital_B,M,20-40
,1.0,0.2478,0.6726,1.0,32.74,113,100.0,32.74,FedAvg,Hospital_B,M,40-60
,1.0,0.2346,0.7407,1.0,25.93,81,100.0,25.93,FedAvg,Hospital_B,M,60-80
,1.0,0.2857,0.7857,1.0,21.43,14,100.0,21.43,FedAvg,Hospital_B,F,0-20
,1.0,0.2623,0.6066,0.9836,39.34,61,100.0,39.34,FedAvg,Hospital_B,F,20-40
,1.0,0.2545,0.7,0.9818,30.0,110,100.0,30.0,FedAvg,Hospital_B,F,40-60
,1.0,0.22,0.82,1.0,18.0,50,100.0,18.0,FedAvg,Hospital_B,F,60-80
0.8822,0.4286,0.0,0.2,1.0,88.46,78,6.41,15.38,FedAvg,Hospital_C,M,0-20
0.8106,0.2724,0.15,0.7,1.0,86.22,283,7.07,10.95,FedAvg,Hospital_C,M,20-40
0.729,0.1664,0.25,0.7857,1.0,87.75,408,6.86,8.33,FedAvg,Hospital_C,M,40-60
0.8005,0.2317,0.125,0.75,1.0,88.46,208,7.69,7.69,FedAvg,Hospital_C,M,60-80
0.7778,0.54,0.3333,0.6667,1.0,94.87,39,7.69,2.56,FedAvg,Hospital_C,F,0-20
0.6745,0.3169,0.4,0.5333,1.0,88.54,253,5.93,11.07,FedAvg,Hospital_C,F,20-40
0.6851,0.195,0.303,0.7879,1.0,80.79,302,10.93,12.91,FedAvg,Hospital_C,F,40-60
0.6618,0.1582,0.2857,0.9286,1.0,77.86,131,10.69,12.98,FedAvg,Hospital_C,F,60-80
0.6765,0.9514,0.2353,0.5882,1.0,47.37,19,89.47,36.84,FedAvg,Hospital_D,M,40-60
0.85,0.9452,0.3,0.8,1.0,42.86,14,71.43,14.29,FedAvg,Hospital_D,M,60-80
0.6667,0.7473,0.1429,0.7143,1.0,46.15,13,53.85,30.77,FedAvg,Hospital_D,F,40-60
0.8056,0.3095,0.5,1.0,1.0,90.0,20,10.0,0.0,FedAvg,Hospital_E,M,20-40
0.7879,0.4394,0.1667,0.6667,1.0,88.0,50,12.0,8.0,FedAvg,Hospital_E,M,40-60
0.9444,0.5833,0.0,0.0,1.0,95.0,20,10.0,15.0,FedAvg,Hospital_E,M,60-80
0.8281,0.8167,0.25,0.75,1.0,85.0,20,20.0,5.0,FedAvg,Hospital_E,F,20-40
0.7143,0.4931,0.4,0.6,1.0,90.0,40,12.5,7.5,FedAvg,Hospital_E,F,40-60
0.4951,0.7009,0.0,0.2357,0.9786,57.28,206,67.96,78.64,q-FedAvg,Hospital_A,M,0-20
0.4332,0.467,0.0,0.2161,0.995,48.06,387,51.42,81.14,q-FedAvg,Hospital_A,M,20-40
0.4546,0.5278,0.0,0.2321,0.9974,49.42,692,56.65,80.92,q-FedAvg,Hospital_A,M,40-60
0.4782,0.6429,0.0,0.1978,0.9892,59.25,427,65.11,80.09,q-FedAvg,Hospital_A,M,60-80
0.3333,0.6988,0.0,0.3333,1.0,48.0,25,72.0,76.0,q-FedAvg,Hospital_A,M,80+
0.4194,0.4901,0.0,0.3,1.0,47.37,76,52.63,73.68,q-FedAvg,Hospital_A,F,0-20
0.4656,0.5854,0.0,0.2579,1.0,54.62,357,61.9,75.35,q-FedAvg,Hospital_A,F,20-40
0.4614,0.549,0.0,0.1934,1.0,54.91,621,58.29,80.84,q-FedAvg,Hospital_A,F,40-60
0.4224,0.5125,0.0,0.1754,0.9912,49.26,203,56.16,87.19,q-FedAvg,Hospital_A,F,60-80
,1.0,0.0,0.0909,1.0,90.91,11,100.0,90.91,q-FedAvg,Hospital_A,F,80+
,1.0,0.0,0.0769,1.0,92.31,13,100.0,92.31,q-FedAvg,Hospital_B,M,0-20
,1.0,0.0,0.2807,1.0,71.93,57,100.0,71.93,q-FedAvg,Hospital_B,M,20-40
,1.0,0.0,0.2301,0.9912,76.99,113,100.0,76.99,q-FedAvg,Hospital_B,M,40-60
,1.0,0.0,0.1728,0.9753,82.72,81,100.0,82.72,q-FedAvg,Hospital_B,M,60-80
,1.0,0.0,0.1429,1.0,85.71,14,100.0,85.71,q-FedAvg,Hospital_B,F,0-20
,1.0,0.0,0.1311,0.9836,86.89,61,100.0,86.89,q-FedAvg,Hospital_B,F,20-40
,1.0,0.0,0.2455,1.0,75.45,110,100.0,75.45,q-FedAvg,Hospital_B,F,40-60
,1.0,0.0,0.24,0.98,76.0,50,100.0,76.0,q-FedAvg,Hospital_B,F,60-80
0.4027,0.1475,0.0,0.4,1.0,33.33,78,6.41,67.95,q-FedAvg,Hospital_C,M,0-20
0.4222,0.0623,0.0,0.2,1.0,20.49,283,7.07,83.75,q-FedAvg,Hospital_C,M,20-40
0.569,0.1171,0.0,0.1071,0.9643,19.85,408,6.86,85.54,q-FedAvg,Hospital_C,M,40-60
0.4964,0.0938,0.0,0.125,1.0,20.19,208,7.69,85.58,q-FedAvg,Hospital_C,M,60-80
0.4074,0.0889,0.0,0.3333,1.0,33.33,39,7.69,69.23,q-FedAvg,Hospital_C,F,0-20
0.3994,0.0494,0.0,0.2,1.0,18.18,253,5.93,85.38,q-FedAvg,Hospital_C,F,20-40
0.3857,0.0905,0.0,0.303,1.0,23.51,302,10.93,80.79,q-FedAvg,Hospital_C,F,40-60
0.3681,0.1533,0.0,0.3571,0.9286,16.79,131,10.69,86.26,q-FedAvg,Hospital_C,F,60-80
0.2941,0.8781,0.0,0.2941,1.0,63.16,19,89.47,73.68,q-FedAvg,Hospital_D,M,40-60
0.575,0.808,0.0,0.0,1.0,78.57,14,71.43,92.86,q-FedAvg,Hospital_D,M,60-80
0.6905,0.6806,0.0,0.1429,1.0,53.85,13,53.85,84.62,q-FedAvg,Hospital_D,F,40-60
0.25,0.0982,0.0,0.5,1.0,25.0,20,10.0,75.0,q-FedAvg,Hospital_E,M,20-40
