Method,Hospital,n,prevalence,roc_auc,avg_precision,fnr_at_0.3,fnr_at_0.5,fnr_at_0.7,accuracy
FedAvg,Hospital_A,3005,59.07,0.7553,0.8028,0.2783,0.6682,0.9921,57.0
FedAvg,Hospital_B,508,100.0,,1.0,0.2421,0.6811,0.9941,31.89
FedAvg,Hospital_C,1711,7.89,0.7426,0.1951,0.2444,0.7259,1.0,85.91
FedAvg,Hospital_D,74,70.27,0.6652,0.8293,0.3077,0.6923,1.0,48.65
FedAvg,Hospital_E,168,11.31,0.7782,0.408,0.2632,0.6316,1.0,89.88
q-FedAvg,Hospital_A,3005,59.07,0.4591,0.5583,0.0,0.2186,0.9949,53.01
q-FedAvg,Hospital_B,508,100.0,,1.0,0.0,0.2146,0.9902,78.54
q-FedAvg,Hospital_C,1711,7.89,0.4444,0.074,0.0,0.2222,0.9852,21.04
q-FedAvg,Hospital_D,74,70.27,0.4458,0.6828,0.0,0.2308,1.0,59.46
q-FedAvg,Hospital_E,168,11.31,0.4659,0.1103,0.0,0.2105,1.0,27.38
Ada-IFFL,Hospital_A,3005,59.07,0.4474,0.5589,0.6462,1.0,1.0,40.87
Ada-IFFL,Hospital_B,508,100.0,,1.0,0.6181,0.9961,1.0,0.39
Ada-IFFL,Hospital_C,1711,7.89,0.4746,0.0792,0.6296,1.0,1.0,92.11
Ada-IFFL,Hospital_D,74,70.27,0.4371,0.6865,0.5577,1.0,1.0,29.73
Ada-IFFL,Hospital_E,168,11.31,0.4097,0.0943,0.6842,1.0,1.0,88.69
GIFAIR-Global,Hospital_A,3005,59.07,0.7209,0.7749,0.0096,0.3194,0.8676,66.52
GIFAIR-Global,Hospital_B,508,100.0,,1.0,0.0177,0.3169,0.8661,68.31
GIFAIR-Global,Hospital_C,1711,7.89,0.6817,0.1576,0.0296,0.4074,0.9111,65.28
GIFAIR-Global,Hospital_D,74,70.27,0.6425,0.8375,0.0,0.4231,0.8077,56.76
GIFAIR-Global,Hospital_E,168,11.31,0.6824,0.2334,0.0,0.5263,0.9474,64.88
GIFAIR-Per,Hospital_A,3005,59.07,0.7234,0.7674,0.0445,0.1493,0.3008,67.35
GIFAIR-Per,Hospital_B,508,100.0,,1.0,0.0,0.0,0.0,100.0
GIFAIR-Per,Hospital_C,1711,7.89,0.652,0.1325,0.7926,0.8963,0.9778,88.84
GIFAIR-Per,Hospital_D,74,70.27,0.6259,0.7813,0.0,0.0385,0.1923,72.97
GIFAIR-Per,Hospital_E,168,11.31,0.7298,0.3224,0.6842,0.7895,0.8947,87.5
